image,image-caption,headline,paragraph,link,link-text,link2,link2-text
/media/carousel/libraryfall.jpg,Photograph of the University of Idaho Library in Fall,The Library Has a New Website,"You are visiting it right now!",https://uidaho.co1.qualtrics.com/jfe/form/SV_71EfAPu8Riq4o7z,Tell us what you think
/media/carousel/MILL.jpg,Photograph of a MILL workshop,Visit The MILL,"Join us for workshops every week at the library's Making, Innovating, and Learning Laboratory (MILL)",https://mill.lib.uidaho.edu/,MILL Website,,
/media/carousel/vr_cdil.jpg,Participants in the CDIL summer symposium 2017,Center for Digital Inquiry & Learning (CDIL),"The only center of its kind in Idaho, CDIL provides digital scholarship research and learning opportunities on campus for faculty and students.",https://cdil.lib.uidaho.edu/,CDIL Website
/media/carousel/queered_car.jpg,Posters for Gott's Point and Idaho Queered,Documentary Premiere - Thursday @6:30PM at the Kenorthy,"Join us  the Premiere of JAMM Professor Denise Bennett's <em>Gotts Point</em>, a documentary on the death of Vandal Alum Steven Nelson and for previews of the Idaho <sup>Queered</sup> Oral History project. Donations at the door.",https://www.lib.uidaho.edu/queered/,Preview Gotts Point<br>Support Idaho Queered
/media/carousel/libraryfall.jpg,Photograph of the University of Idaho Library in Fall,The Library Has a New Website,"You are visiting it right now!",https://uidaho.co1.qualtrics.com/jfe/form/SV_71EfAPu8Riq4o7z,Tell us what you think,,
/media/carousel/safari.jpg,Safari ebooks,Featured Resource: Safari,"Access thousands of ebooks, videos, and courses in tech, business, communications, design, management, and more with Safari Books Online.",http://ida.lib.uidaho.edu:2048/login?url=https://www.safaribooksonline.com/library/view/temporary-access/,Explore,,
/media/carousel/gis-day2018.jpg,GIS Day 2018,GIS Day @ UIdaho,"Join us for GIS Day 2018 at the Idaho Commons Nov 15th to discuss geospatial technology and connect with scholars, students, and professionals working with GIS.",https://www.insideidaho.org/gis-day.html,Learn More,,
/media/carousel/vr_cdil.jpg,Participants in the CDIL summer symposium 2017,Center for Digital Inquiry & Learning,"The only center of its kind in Idaho, CDIL provides digital scholarship research and learning opportunities on campus for faculty and students.",https://cdil.lib.uidaho.edu/,CDIL Website,,
/media/carousel/nahm2018.jpg,Native American Heritage Month,Native American Heritage Month,"Honor Native American Heritage Month by exploring some of our featured historical resources such as <a href='http://ida.lib.uidaho.edu:2048/login?url=http://gdc.galegroup.com/gdc/artemis?p=INDP&u=mosc00780' target='_blank'>Indigenous Peoples: North America</a>, <a href='http://ida.lib.uidaho.edu:2048/login?url=http://www.aihc.amdigital.co.uk/' target='_blank'>American Indian Histories & Cultures</a>, and <a href='http://ida.lib.uidaho.edu:2048/login?url=http://infotrac.galegroup.com/itweb/mosc00780?db=UHIC' target='_blank'>U.S. History in Context</a>.",https://libguides.uidaho.edu/az.php?s=160825,Featured Resources,,
/media/carousel/board-game.jpg,board game,The Library Now Has Board Games!,"Need a study break? Take home one of the library's new board games! Find them on the first floor of the library by the magazines.",https://libguides.uidaho.edu/Games,Play now!,,
/media/carousel/vogue1899-2.jpg,fancy gowns from Vogue 1899,Featured Resource: The Vogue Archive,"Start your semester in style... browse more than 100 years of Vogue magazine online!",http://ida.lib.uidaho.edu:2048/login?url=https://search.proquest.com/vogue/index?accountid=14551,Explore,,
/media/carousel/ross_notext2.jpg,Ross Miller,What Does Your Library Look Like?,"Ph.D. Student Ross Miller (Physics '22) is one of the Library's <a href='https://libguides.uidaho.edu/THINKOPEN'>ThinkOpen Fellows</a> using Open Educational Resources (OER) to help save students money.",https://www.lib.uidaho.edu/open/thinkopen_ross.html,Read Interview,,
/media/carousel/aerial-imagery-app.jpg,aerial imagery,Idaho Aerial Imagery Explorer,"A new interface to discover, explore, and download digital georeferenced aerial imagery for Idaho.",https://www.insideidaho.org/apps/imagery-explorer/,Explore,,
/media/carousel/ricky-kharawala-308072-unsplash.jpg,Ricky Kharawala photo,Library Workshops!,The library hosts workshops every week. Join us to learn about tools that impact your research or kick start your projects!,https://www.lib.uidaho.edu/services/workshops/,Schedule,,
/media/carousel/book-book-pages-close-up-1836048.jpg,open book,Think Open Fellowship applications are open!,"The application deadline for 2019 <a href='https://libguides.uidaho.edu/c.php?g=772392&p=6590405'>Think Open Fellowships</a> has been extend to April 12th. Apply now for this great opportunity to make an impact on education affordability!",https://libguides.uidaho.edu/c.php?g=772392&p=6590405,Apply now!,
/media/carousel/nwpostcards_529_full.jpg,Idaho women's rifle team,Women's History Month,Celebrate <a href='https://womenshistorymonth.gov/' target='_blank'>Women's History Month</a> by exploring our featured database resources,https://libguides.uidaho.edu/az.php?s=160825,Featured Resources,,
