title,month,year,filename
From the MILL,January,2018,From_the_MILL_2018-01.pdf
From the MILL,February,2018,From_the_MILL_2018-02.pdf
From the MILL,March,2018,From_the_MILL_2018-03.pdf
From the MILL,April,2018,From_the_MILL_2018-04.pdf
From the MILL,August/September,2018,From_the_MILL_2018-08.pdf
From the MILL,October,2018,From_the_MILL_2018-10.pdf
From the MILL,November,2018,From_the_MILL_2018-11.pdf
From the MILL – 2018 Highlights,December,2018,From_the_MILL_2018-12.pdf
From the MILL,February,2019,From_the_MILL_2019-02.pdf
From the MILL,March,2019,From_the_MILL_2019-03.pdf
From the MILL – End of Semester Spring,April,2019,From_the_MILL_2019-04.pdf
From the MILL - New Beginnings,September,2019,From_the_MILL_2019-09.pdf
From the MILL - October Occurances,October,2019,From_the_MILL_2019-10.pdf
From the MILL - November Highlights,November,2019,From_the_MILL_2019-11.pdf
From the MILL - 20/20 Vision,January,2020,From_the_MILL_2020-01.pdf
From the MILL - Farewell February,February,2020,From_the_MILL_2020-02.pdf
From the MILL - March Madness,March,2020,From_the_MILL_2020-03.pdf
The MILL Newsletter - Welcome Back!,October,2021,mill_newsletter_2021-10.pdf
The MILL Newsletter - Hello Fall!,November,2021,mill_newsletter_2021-11.pdf
The MILL Newsletter - Happy Holidays!,December,2021,mill_newsletter_2021-12.pdf
The MILL Newsletter - Happy New Year,January,2022,mill_newsletter_2022-01.pdf
